block,va_range,role,in_edges,out_edges,calls,notes
mv_common,0x8008AB10-0x8008AB58,post-move,"mv_success, mv_blocked",pre_tail,"wm_80094238(slot+0x28, 0)","zero slot[+0x40/3C/38]; pos -> D_8009D55C block; sh slot[+0x48] -> D_8009D52C"
pre_tail,0x8008AB5C-0x8008AB68,clear + tail,"JT2 classes, mv_common",common_tail,-,"sh 0->[0x8009BD04]; sh 0->slot[+0x24]"
state_2_3,0x8008ABB4-0x8008ABEC,follow copy,JT1 2/3,common_tail,-,pool[+0x3A8..]/[0x3C8] -> slot pos/heading
state_8,0x8008ABF0-0x8008AC6C,slot2 handshake,JT1 8,state_pp,wm_80097770 x2,see JUMP_TABLES
state_9,0x8008AC70-0x8008ACEC,slot3 handshake,JT1 9,state_pp,wm_80097770 x2,mirror
state_A,0x8008ACF0-0x8008AD20,slot4 claim,JT1 0xA,state_write,wm_80097770,-
state_D,0x8008AD24-0x8008AD98,approach setup,"JT1 0xD, state_12",state_pp,"wm_800941C4, func_800245D8(ptr,1)",target from pool+curbyte*128+0x28
state_E,0x8008AD9C-0x8008AE0C,approach step,JT1 0xE,common_tail,"wm_8008BEC8(slot), wm_8008C1DC(slot_idx+0x2E, slot, 0x1F800000)","8BEC8==3 -> state++; pos/heading -> D_8009D55C/D_8009D52C; NOTE a0 = s1+0x2E where s1 is the ORIGINAL slot index argument"
state_F,0x8008AE10-0x8008AE40,handoff,JT1 0xF,common_tail,"wm_80097770(lbu[0x8009BD60],4), wm_800894C8(0x2F)","ok -> slot[+0x24]=1, state=2"
state_10,0x8008AE44-0x8008AE80,slot2 re-claim,JT1 0x10,state_pp,wm_80097770,slot[+0x86]=5 on success
state_11,0x8008AE84-0x8008AEC0,slot3 re-claim,JT1 0x11,state_pp,wm_80097770,slot[+0x106]=6 on success
state_12,0x8008AEC4-0x8008AF58,teleport + ring refill,JT1 0x12,state_D (v0=0xD),wm_80093978,"scratch pos from resident u16s; heading -> 0x1F8000A0; ring reset + 32-entry fill; loop counter s16-faithful (sll/sra 0x10)"
state_28,0x8008AF5C-0x8008B030,warp-in,JT1 0x28,state_pp,"wm_80093978, rcos, rsin, wm_800941C4, func_800245D8(ptr,1)","facing point = pos + (rcos(h)*48, -rsin(h)*48); slot[+0x5C]=h raw; slot[+0x24]=0"
state_29,0x8008B034-0x8008B0A8,warp approach,JT1 0x29,common_tail,"wm_8008BEC8, func_800245D8(ptr,0)","==3 -> zero vel, state++"
state_2A,0x8008B0AC-0x8008B148,ring reset,JT1 0x2A,state_pp,-,"sb 0->[0x8006F8E5]; slot[+0x58]=1; [0x8009D154]=0; 32x fill from slot pos; s16-faithful loop"
state_2B,0x8008B14C-0x8008B1D4,mode wait,JT1 0x2B,state_pp / common_tail,-,"switch on *(0x8009C170) 1/2/3 with resident-byte gates [0x8006F8E6]/[0x8006F8E7]"
state_2C,0x8008B1D8-0x8008B210,slot2 release,JT1 0x2C,state_pp,wm_80097770(2,5),-
state_2D,0x8008B214-0x8008B238,slot3 release,JT1 0x2D,state_write(0x40),wm_80097770(3,5),-
state_pp,0x8008B23C,state++ store,many,common_tail,-,sh v0 -> slot[+0x20]
common_tail,0x8008B240-0x8008B290,mirror + optional register,"all paths",epilogue,"wm_80074794(0, slot+0x28) when lh slot[+0x24]==0","sh slot[+0x28]>>12 -> [0x8006EE54]; slot[+0x30]>>12 -> [0x8006EE56]; slot[+0x48] -> [0x8006EE58]"
epilogue,0x8008B294-0x8008B2B8,return,common_tail,scheduler,-,"v0 = s5 = CONSTANT 1 on every path (scheduler sh 1 -> slot state -> re-dispatch next pass)"
